from,to,time,amount,type,notes
"Po8","nick8041","2012-11-26 19:40:08","22.260000","SELL","Megleris"
"Po8","nick8041","2012-11-26 19:40:11","1.125000","SELL","Megleris"
"Po8","nick8041","2012-11-26 19:41:14","69.900000","SELL","Megleris"
"Po8","nick8041","2012-11-26 19:41:18","2.730000","SELL","Megleris"
"Megleris","ZirixZero","2012-11-26 19:43:03","480.000000","P2P_TRANSFER","--"
"Po8","Altimeter","2012-11-26 19:49:05","602.915000","SELL","Megleris"
"Po8","Evil_K9","2012-11-26 19:49:54","5.355000","SELL","Megleris"
"Po8","Ulcano","2012-11-26 19:51:04","36.125000","SELL","Megleris"
"Po8","Ulcano","2012-11-26 19:51:14","216.540000","SELL","Altimeter"
"nick8041","Po8","2012-11-26 19:54:10","73.920000","BUY","Megleris"
"Po8","ZirixZero","2012-11-26 19:56:42","630.840000","SELL","Altimeter"
"nick8041","Po8","2012-11-26 20:00:42","49.700000","BUY","Altimeter"
"Po8","CertifedCupcake","2012-11-26 20:00:50","617.870000","SELL","Altimeter"
"Megleris","franlk","2012-11-26 20:04:26","960.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-11-26 20:49:17","17.280000","BUY","Pyrotek"
"PickleMan","Po8","2012-11-26 20:49:22","46.080000","BUY","Pyrotek"
"PickleMan","Po8","2012-11-26 20:49:25","548.480000","BUY","Pyrotek"
"Po8","Evil_K9","2012-11-26 20:49:32","103.680000","SELL","Pyrotek"
"jman0504","wigginman","2012-11-26 21:03:06","50.000000","P2P_TRANSFER","--"
"Po8","VerifedCupcake","2012-11-26 21:37:14","803.580000","SELL","Megleris"
"franlk","Po8","2012-11-26 21:37:18","456.960000","BUY","Megleris"
"Po8","VerifedCupcake","2012-11-26 21:37:22","3.520000","SELL","Megleris"
"Po8","jman0504","2012-11-26 21:39:16","237.205000","SELL","Megleris"
"Po8","franlk","2012-11-26 21:39:21","1650.490000","SELL","Megleris"
"Po8","jman0504","2012-11-26 21:40:37","469.960000","SELL","Megleris"
"franlk","Po8","2012-11-26 21:42:44","120.360000","BUY","Megleris"
"franlk","Po8","2012-11-26 21:42:48","1216.380000","BUY","Megleris"
"Po8","VerifedCupcake","2012-11-26 21:43:15","1344.640000","SELL","Megleris"
"PeebleTheory","Po8","2012-11-26 22:26:08","50.700000","BUY","Butlerlog"
"Po8","PickleMan","2012-11-26 22:30:23","19.780000","SELL","Butlerlog"
"FuzzyWuzzie","Po8","2012-11-26 22:38:46","12.000000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-26 22:38:48","854.820000","BUY","Megleris"
"Po8","bones9302","2012-11-26 22:49:33","157.470000","SELL","Butlerlog"
"Po8","thurdog","2012-11-26 22:52:31","446.930000","SELL","Butlerlog"
"Po8","nick8041","2012-11-27 00:14:35","1.920000","SELL","PickleMan"
"Po8","nick8041","2012-11-27 00:14:45","13.370000","SELL","PickleMan"
"veechee","Po8","2012-11-27 00:14:54","42.400000","BUY","PickleMan"
"Po8","veechee","2012-11-27 01:07:57","20.900000","SELL","PatHeist"
"Po8","PickleMan","2012-11-27 01:08:10","0.220000","SELL","PatHeist"
"Po8","Ekardsille","2012-11-27 06:55:51","355.710000","SELL","Megleris"
"Po8","veechee","2012-11-27 06:55:56","95.640000","SELL","Megleris"
"Ulcano","Po8","2012-11-27 13:34:09","1408.740000","BUY","atlasrune"
"Po8","atlasrune","2012-11-27 13:38:36","53.815000","SELL","atlasrune"
"Po8","atlasrune","2012-11-27 14:26:55","7.075000","SELL","atlasrune"
"Po8","atlasrune","2012-11-27 14:28:40","391.595000","SELL_DENIED","Megleris | FUCK YOU ATLAS you dont get po8"
"Ekardsille","Po8","2012-11-27 14:29:33","3.800000","BUY","Megleris"
"Po8","atlasrune","2012-11-27 14:30:30","391.595000","SELL","Megleris"
"Po8","Megleris","2012-11-27 14:33:47","3.120000","SELL_DENIED","Megleris | testing"
"Megleris","Po8","2012-11-27 14:35:32","3.570000","BUY","Megleris"
"Po8","greypo","2012-11-27 14:36:05","132.960000","SELL","Megleris"
