from,to,time,amount,type,notes
"Po8","Howl_Kohaku","2012-12-05 11:23:04","1.920000","SELL","dotlizard"
"Majink","Po8","2012-12-05 11:34:04","49.800000","BUY","The_Lorax"
"Po8","blacknbluedragon","2012-12-05 11:34:11","217.710000","SELL","The_Lorax"
"Po8","blacknbluedragon","2012-12-05 11:34:21","213.510000","SELL","The_Lorax"
"Po8","blacknbluedragon","2012-12-05 11:35:06","15.360000","SELL","The_Lorax"
"Po8","DeGX7","2012-12-05 11:35:44","69.120000","SELL","The_Lorax"
"Po8","DeGX7","2012-12-05 11:38:07","113.850000","SELL","The_Lorax"
"Po8","DeGX7","2012-12-05 11:40:32","107.970000","SELL","The_Lorax"
"Po8","DeGX7","2012-12-05 11:47:38","133.010000","SELL","The_Lorax"
"Po8","blacknbluedragon","2012-12-05 12:01:35","19.360000","SELL","The_Lorax"
"Megleris","blacknbluedragon","2012-12-05 12:20:12","750.000000","P2P_TRANSFER","--"
"PatHeist","Casper3641","2012-12-05 12:48:39","1602.130000","P2P_TRANSFER","--"
"Po8","blacknbluedragon","2012-12-05 13:03:36","554.145000","SELL","PatHeist"
"Po8","Sharkd","2012-12-05 14:59:33","28.080000","SELL","atlasrune"
"Po8","nick8041","2012-12-05 14:59:38","445.725000","SELL","atlasrune"
"nick8041","Po8","2012-12-05 14:59:44","179.120000","BUY","atlasrune"
"nick8041","Po8","2012-12-05 14:59:47","414.000000","BUY","atlasrune"
"atlasrune","Po8","2012-12-05 15:00:04","2196.930000","BUY","Megleris"
"atlasrune","Po8","2012-12-05 15:01:34","90.090000","BUY","atlasrune"
"atlasrune","Po8","2012-12-05 15:07:44","2370.000000","BUY","The_Lorax"
"nick8041","Po8","2012-12-05 15:39:21","38.400000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:41:21","15.360000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:41:37","15.360000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:42:37","15.360000","BUY","The_Lorax"
"Po8","PickleMan","2012-12-05 15:42:47","134.830000","SELL","Megleris"
"PickleMan","Po8","2012-12-05 15:43:06","15.360000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:43:24","336.640000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:43:46","30.720000","BUY","Pyrotek"
"PickleMan","Po8","2012-12-05 15:44:20","7.680000","BUY","The_Lorax"
"PickleMan","Po8","2012-12-05 15:45:03","207.360000","BUY","Megleris"
"PickleMan","Po8","2012-12-05 15:45:21","120.320000","BUY","Megleris"
"PickleMan","Po8","2012-12-05 15:45:40","0.250000","BUY","The_Lorax"
"Megleris","PickleMan","2012-12-05 15:46:03","580.000000","GRANT","--"
"The_Lorax","PickleMan","2012-12-05 15:46:56","580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:12","-580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:33","-580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:40","-580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:40","-580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:46","580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:47","580.000000","GRANT","--"
"Megleris","PickleMan","2012-12-05 15:47:47","580.000000","GRANT","--"
"omnomnom18","CertifedCupcake","2012-12-05 16:14:06","20.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-12-05 16:27:07","142.995000","SELL","Pyrotek"
"Po8","Sierra_G_117","2012-12-05 16:34:01","4.160000","SELL","The_Lorax"
"Casper3641","Po8","2012-12-05 16:46:36","18.960000","BUY","The_Lorax"
"Casper3641","Po8","2012-12-05 16:55:24","3.840000","BUY","The_Lorax"
"greypo","CertifedCupcake","2012-12-05 18:20:51","50.000000","P2P_TRANSFER","--"
"Po8","Evil_K9","2012-12-05 19:32:21","103.680000","SELL","Altimeter"
"Majink","Po8","2012-12-05 19:32:25","268.800000","BUY","Altimeter"
"Po8","PeebleTheory","2012-12-05 19:32:52","6.270000","SELL","Megleris"
"Po8","Casper3641","2012-12-05 19:32:56","10.400000","SELL","Megleris"
"Po8","gonnacreep467","2012-12-05 19:33:00","124.170000","SELL","Megleris"
"Po8","nick8041","2012-12-05 19:33:03","461.780000","SELL","Megleris"
"Flashplayerman","Po8","2012-12-05 19:33:07","115.200000","BUY","Megleris"
"Flashplayerman","Po8","2012-12-05 19:48:15","181.120000","BUY","SpokenSquid"
"Po8","PickleMan","2012-12-05 20:32:35","36.520000","SELL","Butlerlog"
"Po8","the_narwhal_king","2012-12-05 20:32:39","6.435000","SELL","Butlerlog"
"Po8","the_narwhal_king","2012-12-05 20:32:42","14.080000","SELL","Butlerlog"
"Megleris","PickleMan","2012-12-05 20:54:24","17500.000000","P2P_TRANSFER","--"
"Po8","PickleMan","2012-12-05 21:04:13","112.770000","SELL","dotlizard"
"PeebleTheory","Po8","2012-12-05 21:04:25","460.800000","BUY","dotlizard"
"Po8","Sharkd","2012-12-05 21:04:42","51.840000","SELL","SpokenSquid"
"Sierra_G_117","munden26","2012-12-05 21:13:08","500.000000","P2P_TRANSFER","--"
"PickleMan","woj75","2012-12-05 21:15:58","250.000000","P2P_TRANSFER","--"
"escherial","PickleMan","2012-12-05 21:43:39","0.500000","P2P_TRANSFER","--"
"escherial","PickleMan","2012-12-05 21:43:44","7.500000","P2P_TRANSFER","--"
"greypo","PickleMan","2012-12-05 21:44:19","0.690000","P2P_TRANSFER","--"
"Wolfzgang","Po8","2012-12-05 22:12:30","1020.000000","BUY","dotlizard"
"Sierra_G_117","LewisGravy","2012-12-05 22:58:30","500.000000","P2P_TRANSFER","--"
"greypo","Sierra_G_117","2012-12-05 23:10:29","600.000000","P2P_TRANSFER","--"
"Po8","greypo","2012-12-05 23:52:12","8.140000","SELL","dotlizard"
"PickleMan","Po8","2012-12-05 23:52:48","16.640000","BUY","dotlizard"
"Polarisknife","greypo","2012-12-06 00:33:08","400.000000","P2P_TRANSFER","--"
"escherial","PickleMan","2012-12-06 01:09:28","50.000000","P2P_TRANSFER","--"
"PickleMan","escherial","2012-12-06 01:09:43","50.000000","P2P_TRANSFER","--"
"PickleMan","RogueHaven","2012-12-06 01:09:51","50.000000","P2P_TRANSFER","--"
"jman0504","PickleMan","2012-12-06 18:35:51","100.000000","P2P_TRANSFER","--"
"Sierra_G_117","CertifedCupcake","2012-12-06 19:28:21","350.000000","P2P_TRANSFER","--"
"Po8","Polarisknife","2012-12-07 06:35:05","61.760000","SELL_DENIED","PatHeist | Test sale. Spawned items."
"Po8","Polarisknife","2012-12-07 07:20:12","0.210000","SELL","JudgeAnderson"
"Majink","Po8","2012-12-07 13:17:48","26.800000","BUY","The_Lorax"
"greypo","SoLikeSilly","2012-12-07 14:35:34","100.000000","P2P_TRANSFER","--"
"Flashplayerman","Po8","2012-12-07 14:45:14","32.000000","BUY","Altimeter"
"greypo","Po8","2012-12-07 14:45:18","1.930000","BUY","Altimeter"
"Po8","TheDesiree","2012-12-07 14:45:20","387.840000","SELL","Altimeter"
"SoLikeSilly","Po8","2012-12-07 14:45:23","19.200000","BUY","Altimeter"
"Po8","gonnacreep467","2012-12-07 14:45:26","167.015000","SELL","Altimeter"
"greypo","thekylander","2012-12-07 16:22:02","50.000000","P2P_TRANSFER","--"
"Po8","greypo","2012-12-07 18:05:06","49.280000","SELL","PatHeist"
"Po8","Agents9526","2012-12-07 18:05:34","34.560000","SELL","PatHeist"
"Po8","Ulcano","2012-12-07 18:05:40","8.670000","SELL","PatHeist"
"Po8","GreatRevival","2012-12-07 18:05:46","2.150000","SELL","PatHeist"
"Po8","greypo","2012-12-07 20:24:56","153.285000","SELL","Altimeter"
"Po8","Flashplayerman","2012-12-07 20:24:59","23.070000","SELL","SpokenSquid"
"Agents9526","Po8","2012-12-07 20:25:00","106.380000","BUY","Altimeter"
"Agents9526","Po8","2012-12-07 20:25:02","618.450000","BUY","Altimeter"
"PickleMan","Po8","2012-12-07 20:25:05","21.680000","BUY","Altimeter"
"greypo","Lygarine","2012-12-07 21:46:08","6.900000","P2P_TRANSFER","--"
"greypo","Ekardsille","2012-12-07 21:46:17","6.900000","P2P_TRANSFER","--"
"greypo","DavyShin","2012-12-07 21:46:23","6.900000","P2P_TRANSFER","--"
"PickleMan","PeebleTheory","2012-12-07 21:46:36","0.500000","P2P_TRANSFER","--"
"Po8","greypo","2012-12-07 23:04:21","741.120000","SELL","dotlizard"
"Po8","DavyShin","2012-12-07 23:04:29","4.270000","SELL","dotlizard"
"Po8","DavyShin","2012-12-07 23:04:43","14.120000","SELL","dotlizard"
"Po8","GreatRevival","2012-12-08 01:18:51","100.145000","SELL","dotlizard"
"GreatRevival","Po8","2012-12-08 01:19:00","27.000000","BUY","dotlizard"
"Po8","greypo","2012-12-08 02:59:49","28.160000","SELL","PatHeist"
"Po8","greypo","2012-12-08 02:59:54","356.040000","SELL","PatHeist"
"GreatRevival","Lugia101101","2012-12-08 06:46:04","5000.000000","P2P_TRANSFER","--"
"Lugia101101","GreatRevival","2012-12-08 06:46:47","0.690000","P2P_TRANSFER","--"
"Po8","greypo","2012-12-08 08:08:13","71.415000","SELL","The_Lorax"
"Po8","GreatRevival","2012-12-08 08:08:21","43.725000","SELL","The_Lorax"
"Howl_Kohaku","Po8","2012-12-08 08:19:00","287.000000","BUY","The_Lorax"
"Po8","Howl_Kohaku","2012-12-08 08:19:06","3.520000","SELL","The_Lorax"
"the_narwhal_king","Po8","2012-12-08 08:36:30","46.000000","BUY","The_Lorax"
"Po8","the_narwhal_king","2012-12-08 08:37:12","24.120000","SELL","The_Lorax"
"Po8","gonnacreep467","2012-12-08 09:22:53","145.695000","SELL","Altimeter"
"Po8","gonnacreep467","2012-12-08 09:22:56","149.350000","SELL","Altimeter"
"the_narwhal_king","Po8","2012-12-08 09:23:00","586.390000","BUY","Altimeter"
"Po8","the_narwhal_king","2012-12-08 09:23:03","0.125000","SELL","Altimeter"
"Po8","the_narwhal_king","2012-12-08 09:23:06","0.720000","SELL","Altimeter"
"the_narwhal_king","Po8","2012-12-08 09:23:09","84.800000","BUY","Altimeter"
"Po8","Ulcano","2012-12-08 11:57:25","115.000000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-08 12:39:07","540.860000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-08 12:39:11","488.325000","SELL","Pyrotek"
"SoLikeSilly","Po8","2012-12-08 12:39:14","15.360000","BUY","Pyrotek"
"SoLikeSilly","Po8","2012-12-08 12:48:44","30.720000","BUY","Pyrotek"
"Po8","GreatRevival","2012-12-08 12:50:57","735.340000","SELL","Pyrotek"
"greypo","bones9302","2012-12-08 14:10:53","400.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-12-08 14:50:53","3284.480000","BUY_DENIED","Ereh_Dogon | requested"
"greypo","GladiatorUSMC","2012-12-08 14:50:58","6.900000","P2P_TRANSFER","--"
"Po8","GreatRevival","2012-12-08 15:09:51","1299.755000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-08 15:09:55","178.605000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-08 15:10:00","33.700000","SELL","Pyrotek"
"Po8","GladiatorUSMC","2012-12-08 15:10:04","184.565000","SELL","Pyrotek"
"Po8","GladiatorUSMC","2012-12-08 15:10:07","184.565000","SELL","The_Lorax"
"Po8","GladiatorUSMC","2012-12-08 15:10:08","935.580000","SELL","Pyrotek"
"Po8","greypo","2012-12-08 15:10:12","869.750000","SELL","Pyrotek"
"Po8","DeGX7","2012-12-08 15:10:13","68.910000","SELL","The_Lorax"
"Po8","DeGX7","2012-12-08 15:10:16","16.110000","SELL","Pyrotek"
"Ulcano","Po8","2012-12-08 15:10:19","57.700000","BUY","The_Lorax"
"Po8","GreatRevival","2012-12-08 15:23:55","584.770000","SELL","The_Lorax"
"GreatRevival","Po8","2012-12-08 15:24:13","45.000000","BUY","The_Lorax"
"GreatRevival","Po8","2012-12-08 15:25:20","45.000000","BUY","The_Lorax"
"Po8","Flashplayerman","2012-12-08 15:26:36","35.565000","SELL","The_Lorax"
"Flashplayerman","Po8","2012-12-08 16:56:33","19.840000","BUY","Pyrotek"
"Po8","Stagen","2012-12-08 16:56:35","189.440000","SELL","Pyrotek"
"Po8","Stagen","2012-12-08 16:56:38","404.480000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-08 17:02:27","506.180000","SELL","Pyrotek"
"greypo","VerifedCupcake","2012-12-08 17:18:17","150.000000","P2P_TRANSFER","--"
"greypo","BFloop","2012-12-08 18:37:47","0.069000","P2P_TRANSFER","--"
"Po8","the_narwhal_king","2012-12-08 18:55:26","4.950000","SELL","The_Lorax"
"Po8","PickleMan","2012-12-08 18:55:31","109.225000","SELL","The_Lorax"
"Flashplayerman","Po8","2012-12-08 18:55:36","174.080000","BUY","The_Lorax"
"Flashplayerman","Po8","2012-12-08 21:21:28","78.000000","BUY","Pyrotek"
"woj75","Po8","2012-12-08 21:21:31","2610.000000","BUY","Pyrotek"
"RogueHaven","Po8","2012-12-08 21:21:33","7.380000","BUY","Pyrotek"
"Po8","Sierra_G_117","2012-12-08 21:27:16","66.880000","SELL","Pyrotek"
"greypo","DeGX7","2012-12-08 22:47:33","0.000000","P2P_TRANSFER","--"
"DeGX7","greypo","2012-12-08 22:47:42","128.000000","P2P_TRANSFER","--"
"greypo","PatHeist","2012-12-08 23:30:27","293.560000","P2P_TRANSFER","--"
"PatHeist","greypo","2012-12-08 23:32:52","293.560000","GRANT","--"
"PatHeist","PatHeist","2012-12-08 23:33:59","-293.560000","GRANT","--"
"PickleMan","Po8","2012-12-08 23:34:57","0.550000","BUY","PatHeist"
"Po8","PickleMan","2012-12-08 23:35:38","184.420000","SELL","PatHeist"
"Po8","greypo","2012-12-09 00:14:08","462.400000","SELL","Altimeter"
"PeebleTheory","Po8","2012-12-09 00:15:22","0.060000","BUY","Altimeter"
"PeebleTheory","Po8","2012-12-09 00:16:31","565.000000","BUY","Altimeter"
"DeGX7","Po8","2012-12-09 00:16:47","336.000000","BUY","Altimeter"
"Po8","PeebleTheory","2012-12-09 00:17:04","10.680000","SELL","Altimeter"
"PeebleTheory","Po8","2012-12-09 00:59:51","690.000000","BUY","Pyrotek"
"Po8","greypo","2012-12-09 00:59:53","11.950000","SELL","Pyrotek"
"Po8","GreatRevival","2012-12-09 10:15:28","455.810000","SELL","dotlizard"
"Po8","GreatRevival","2012-12-09 10:15:37","629.885000","SELL","dotlizard"
"Po8","GreatRevival","2012-12-09 11:16:29","254.920000","SELL","Altimeter"
"PickleMan","Flashplayerman","2012-12-09 14:13:55","18.000000","P2P_TRANSFER","--"
"Po8","GreatRevival","2012-12-09 14:50:07","1288.185000","SELL","Pyrotek"
"VerifedCupcake","Po8","2012-12-09 14:50:10","74.240000","BUY","Pyrotek"
"Po8","GreatRevival","2012-12-09 14:50:14","530.275000","SELL","Pyrotek"
"Po8","PeebleTheory","2012-12-09 14:50:17","24.960000","SELL","Pyrotek"
"PeebleTheory","Po8","2012-12-09 14:50:22","226.000000","BUY","Pyrotek"
"Po8","Stagen","2012-12-09 14:50:25","307.200000","SELL","Pyrotek"
"PickleMan","Po8","2012-12-09 14:50:29","2039.040000","BUY","Pyrotek"
"PickleMan","Po8","2012-12-09 14:50:32","1446.120000","BUY","Pyrotek"
"PickleMan","Po8","2012-12-09 14:50:36","806.400000","BUY","Pyrotek"
"PeebleTheory","greypo","2012-12-09 14:56:31","384.000000","P2P_TRANSFER","--"
"PeebleTheory","Ulcano","2012-12-09 14:58:50","300.000000","P2P_TRANSFER","--"
"PeebleTheory","DeGX7","2012-12-09 15:03:36","1.000000","P2P_TRANSFER","--"
